Array Size,Gops/s
4096, 47.29146609122263
20480, 90.32605906861947
36864, 70.70799679754668
53248, 74.62667462686566
69632, 91.9322218401605
86016, 79.61811570247936
102400, 58.21604776467163
118784, 57.86678699880034
135168, 61.84925964773672
151552, 63.299071106964675
167936, 48.83370712165723
184320, 48.04397475202886
200704, 47.306432642807074
217088, 49.642709426998834
233472, 64.60907847732967
249856, 58.9572590783091
266240, 51.32061660816164
282624, 53.021336344914644
299008, 52.96549851448549
315392, 53.57107247954768
331776, 55.09389752430867
348160, 55.24106689723878
364544, 63.57719865850499
380928, 57.069757867144865
397312, 65.91591739665826
413696, 60.381981955792476
430080, 63.219328235839754
446464, 60.071783392412705
462848, 59.710409034278705
479232, 65.47143251231527
495616, 66.2175993874035
512000, 66.6006708096411
528384, 60.35480909571655
544768, 61.355563310198654
561152, 64.3226634468325
577536, 65.4528188666885
593920, 62.773551431267705
610304, 64.68287950646246
626688, 65.49204250133754
643072, 65.58000206590229
659456, 66.763564197117
675840, 66.0817856921932
692224, 67.58368340976708
708608, 66.47434203435434
724992, 65.49190120158278
741376, 65.01238413595064
757760, 67.65290071778487
774144, 67.33765867723234
790528, 65.61876415553
806912, 67.2445801303289
823296, 66.51049178423426
839680, 67.3385022323309
856064, 66.70627077781667
872448, 67.25133273289356
888832, 67.20243456400418
905216, 65.64942146035932
921600, 66.44192886447777
937984, 66.9838264055303
954368, 67.18854086985954
970752, 66.78448214827213
987136, 66.53555588478288
1003520, 66.48349464276036
1019904, 67.1654545149097
1036288, 66.40543879849812
1052672, 65.74465860022339
1069056, 66.7039302247568
1085440, 65.26295564087901
1101824, 66.5494204014139
1118208, 66.10098015187472
1134592, 66.63674187464211
1150976, 66.79262786622303
1167360, 66.55527794080658
1183744, 65.76172884086553
1200128, 66.62730812913618
1216512, 65.69608328679361
1232896, 66.5985835278426
1249280, 65.79668430595186
1265664, 64.85322263661425
1282048, 66.32932194677058
1298432, 65.99474308858728
1314816, 66.39968582984976
1331200, 65.43311096299529
1347584, 66.3591522209283
1363968, 66.33555229846769
1380352, 65.40122990869459
1396736, 66.281542100581
1413120, 65.9675891963988
1429504, 64.81022026825379
1445888, 63.37722451126501
1462272, 65.96717248278914
1478656, 65.95135693967448
1495040, 65.1215146699331
1511424, 66.18092844651203
1527808, 65.11080455911588
1544192, 65.14001952322981
1560576, 64.5407844911147
1576960, 65.85366144668158
1593344, 65.83443049244873
1609728, 64.70567686948472
1626112, 65.75231989224326
1642496, 65.05114993286942
1658880, 65.42829909613805
1675264, 65.67663416520594
1691648, 64.99102173069359
1708032, 61.66245752631517
1724416, 62.832985048579815
1740800, 65.16925514077064
1757184, 62.841736409355796
1773568, 63.87125916398715
1789952, 65.50235901312013
1806336, 65.13941096286506
1822720, 60.4556521653674
1839104, 63.9808685433911
1855488, 65.08506451862692
1871872, 65.22630900723209
1888256, 64.84708225710902
1904640, 64.36300682613376
1921024, 65.05584369912081
1937408, 63.53006895168238
1953792, 64.0090447277203
1970176, 64.85462997648983
1986560, 64.89905259719046
2002944, 64.82982809016596
2019328, 64.12297459047893
2035712, 64.48477608080809
2052096, 64.67181586833031
2068480, 63.66933283400143
2084864, 64.74125461995769
2101248, 64.03369530542854
2117632, 64.25526321565852
2134016, 64.81659689666557
2150400, 63.947248484848494
2166784, 64.84140239804783
2183168, 62.830000799424425
2199552, 64.55031548055759
2215936, 64.04270664677423
2232320, 64.61626108574336
2248704, 64.30087798537775
2265088, 62.912478293008256
2281472, 63.75692854004789
2297856, 63.17299529500672
2314240, 63.09561384431706
2330624, 64.02147343388542
2347008, 64.45399983653455
2363392, 63.82752720447386
2379776, 61.17706048260734
2396160, 63.76107871795804
2412544, 63.62243199366055
2428928, 63.140719549989605
2445312, 63.22720103425986
2461696, 64.071919330207
2478080, 64.1695388384083
2494464, 54.45931511701717
2510848, 59.27248933618953
2527232, 48.25067900062076
2543616, 56.27363681074725
2560000, 47.18336483931948
2576384, 60.59581126297144
2592768, 43.94604359225284
2609152, 48.164077293540764
2625536, 56.059964893117304
2641920, 60.10669670637254
2658304, 60.013599232663545
2674688, 62.54436981290433
2691072, 62.551970704696785
2707456, 62.43472880134519
2723840, 61.176473524136334
2740224, 61.80956390977444
2756608, 62.968203045685286
2772992, 60.77790684931507
2789376, 61.03984139220729
2805760, 59.13682122483489
2822144, 61.2115386879697
2838528, 62.93355293372398
2854912, 61.791422090627336
2871296, 61.94911652256683
2887680, 62.08756789366946
2904064, 60.93538594461158
2920448, 62.792067962871855
2936832, 62.40604184140167
2953216, 60.946571759841206
2969600, 63.049156786498294
2985984, 60.96672668213457
3002368, 61.743741224814876
3018752, 62.07263244800997
3035136, 62.829783036071824
3051520, 62.78815438192191
3067904, 60.634895184496415
3084288, 61.99087131977703
3100672, 62.414923998621134
3117056, 62.6904626028544
3133440, 61.62190349374149
3149824, 61.18880479962602
3166208, 61.999177575996846
3182592, 62.3544648443672
3198976, 61.759793337397994
3215360, 60.49228341678046
3231744, 61.36059674363087
3248128, 60.93888715868627
3264512, 61.12204267386969
3280896, 61.683847569699694
3297280, 61.77249718047578
3313664, 61.748513587044286
3330048, 61.793125289167875
3346432, 62.2558850114156
3362816, 62.01037091768315
3379200, 58.07358875089706
3395584, 60.480243120023935
3411968, 61.806535758278386
3428352, 62.284860140955374
3444736, 62.03201160445501
3461120, 61.767975943269356
3477504, 60.99928707909162
3493888, 61.06670661672909
3510272, 60.05201660894918
3526656, 61.879222354793114
3543040, 61.6643543727219
3559424, 60.71205172080852
3575808, 61.68467390380708
