Array Size;Gops/s;Gops/s (huge pages)
4096;18.584577140316892;30.090568027124913
8192;29.186353593578986;34.97666141315867
12288;35.201881193346836;36.30084181867684
16384;31.18076956898923;38.45398534240976
20480;37.16795499847214;39.81616207874957
24576;37.47121978125745;59.22839653512994
28672;43.15341848117668;90.17295512965052
32768;44.68163932960894;96.12608721570861
36864;45.84176901473033;94.39785928015087
40960;51.782500091929236;96.27670678863747
45056;51.95301434148628;49.58774809555954
49152;52.52404911798099;60.022614934333966
53248;58.04374884637754;66.65356520834959
57344;58.15730133100589;54.678793123915796
61440;58.35544658493872;76.05834928615559
65536;61.077054609300184;61.08325128180681
69632;62.402091894843586;83.05525634678831
73728;62.2849734444358;93.6133892905901
77824;63.01002033577678;97.44515967971415
81920;67.22771378121584;90.92219125042759
86016;67.4202981450253;88.15275604718153
90112;67.65838456752387;86.74219478978513
94208;67.3624916011438;96.16418434564761
98304;71.40869202495355;74.95564747400456
102400;71.26226149926666;93.97498824635639
106496;71.62238291142867;94.46566211624406
110592;64.87681245944192;63.23040113842991
114688;65.18851325556734;62.633904224469006
118784;67.74235250558432;96.55023693613501
122880;71.53486253904288;87.53363731630469
126976;72.01739427479293;68.98868622713152
131072;71.93578298162583;86.361317769131
135168;62.77728987592126;72.59823957404409
139264;66.37707354603673;85.67639690030879
143360;66.68498822423932;78.02078380022316
147456;65.65435429321951;78.24821960651721
151552;66.11717383561663;82.19980905349794
155648;64.91863959720644;76.00861358807973
159744;63.52888888324187;69.43626220866206
163840;62.954176960357586;73.60883815135334
167936;63.447524406698946;67.99916703982012
172032;62.60607077983089;62.81428449329064
176128;61.51349526750923;55.877422213866545
180224;62.25664598597039;62.35384605776737
184320;62.70950101156061;63.97954733361555
188416;61.704166216111844;57.501225047749514
192512;60.486542836628864;58.41343546582261
196608;61.19594652968017;60.56046504718323
200704;61.77416069221261;57.645788767933105
204800;62.49653725971084;57.65073973917619
208896;62.20357452110263;63.234310524329295
212992;62.69286765513455;64.12147829575544
217088;63.39510718584467;60.60263710628351
221184;63.725819127976024;62.86101749479381
225280;64.55999803342404;65.65907742187613
229376;64.94942880390562;67.48447286886194
233472;64.71720375300916;62.42289967897121
237568;65.16150857142857;65.33037559287942
241664;66.26575822319718;66.82774154670238
245760;66.74151170568562;66.23203451709261
249856;66.28579008456309;63.69981624758837
253952;66.76911590566985;64.04821819348628
258048;68.07210977743635;65.04949879788354
262144;68.12692414468627;64.7692241845553
266240;67.78579309174233;66.01358356431035
270336;68.39491532396299;68.33049678910866
274432;68.42781302531658;67.61920840240684
278528;68.47563910289334;66.9026424092874
282624;67.70507525404774;67.56183998277201
286720;68.36882698284793;67.44642839036756
290816;67.60600463991206;68.27704013393951
294912;68.39612836489916;68.39612836489916
299008;68.30962517099864;67.39531688434737
303104;67.78955583155059;67.30907122444049
307200;67.23983960496595;67.69387236206458
311296;67.61850356376512;67.28267999490967
315392;67.72135012900206;67.21859921001764
319488;68.34864734263198;67.76198136540742
323584;68.27603640661842;66.92412663097825
327680;68.2919496152264;68.3094533939633
331776;68.29126881496897;67.06447928020131
335872;67.72546178773142;66.32393510287612
339968;68.31505252948739;67.65037787876203
344064;67.76133106960951;66.56710144724492
348160;66.86535842743622;66.85788689779211
352256;68.24082424205916;67.75571946289384
356352;67.05922440566242;67.16268237273876
360448;68.37662579577704;67.40911957201287
364544;68.34616937332446;65.23463556531428
368640;67.72597880932801;67.57708851794555
372736;68.29723818477053;65.72105808186805
376832;68.27287414018366;66.9979738342838
380928;67.56964498615815;67.7128603578085
385024;68.30416765413801;68.24765136360185
389120;68.2467894150895;67.57549054523871
393216;68.30354864079331;67.08584140699305
397312;68.2835877512397;66.41526643943361
401408;67.54751072508901;68.06110550464338
405504;68.15933684126375;67.93879146654753
409600;67.37500632004719;66.61161376322588
413696;68.20838088044945;67.76982898610423
417792;68.23424481079695;68.11787362496803
421888;68.26247209421403;66.56582188479472
425984;68.18462060431612;67.33255292258872
430080;68.24798905608755;66.54308423443672
434176;67.40689239924454;65.95987471250855
438272;68.00773956618411;67.66044248836225
442368;67.51465972263492;65.80378755367632
446464;68.24149290109791;66.45184181545137
450560;68.13512374299994;66.31985650888461
